题干,答案
高校实验室发生安全事故的主要原因有：操作不慎、粗心大意、设施老化、缺少防护设施等。,正确
使用U盘拷贝资料，应先对U盘杀毒，防止病毒感染 。,正确
从自己的实际情况出发，锻炼要循序渐进，不要急于求成，应做自己力所能及的动作。锻炼时间不宜过长，练习负荷不宜过重，以免过度疲劳或发生运动损伤。,正确
电气设备发生火灾时，应注意：1、电气设备可能带电，可能发生触电事故；2、某些电气设备充有大量的油，可能发生喷油甚至爆炸。,正确
在稀释浓硫酸时，不能将水往浓硫酸里倒，而应将浓硫酸缓缓倒入水中，不断搅拌均匀。,正确
对于含氟废液可以进行如下处理：加入石灰使生成氟化钙沉淀。 ,正确
在进行萃取或洗涤操作时，为了防止物质高度浓缩而导致内部压力过大，产生爆炸，应该注意及时排出产生的气体。,正确
储存在冰箱内的所有容器，应当清楚地标明内装物品的品名、储存日期和储存者的姓名。,正确
加强计算机的安全管理，建立病毒防护系统并不断加以更新，重要的数据资料应定期进行备份。,正确
实验室的药品和设备一定要标明其名称，以免误用。,正确
实验中产生的废液、废物应分类集中处理，不得任意排放；对未知废料不得任意混合。酸、碱或有毒物品溅落时，应及时清理及除毒。,正确
易燃、易爆物品要放在远离实验室的阴凉通风处，在实验室内保存的少量易燃易爆试剂要严格管理。,正确
从下列选项中选择万一发生电气火灾后首先应该采取的第一条措施,B
我国大陆通用的火警电话号码是：,B
实验室电器发生火灾，在没有灭火器的情况下应先：,C
当遇到火灾时，要迅速向（ ）逃生。,C
影响电流对人体伤害程度的主要因素是什么？,D
如果睡觉时被烟火呛醒，正确的做法是（）。,A
按照国家工程建筑消防技术标准施工的项目竣工时，（ ）经公安消防机构进行消防验收。,A
火场逃生的原则是 ( ) 。,C
实验时，电源变压器付边输出被短路，会出现什么现象，直至烧毁？,D
电源电压高于电容耐压时，会引起: ,C
下列哪种灭火器不适于扑灭电器火灾?,C
违反《中华人民共和国消防法》行为，构成犯罪的，应：,B
发生火灾时，正确的安全疏散主要有三个方向，向下可以跑到地面，向上可以爬到屋顶，还可以（）,B
火灾蔓延的途径是:,D
火灾初起阶段是扑救火灾( )的阶段。,B
预防学生宿舍火灾，下列哪条描述是正确的？（）,D
据统计，火灾中死亡的人有80%以上属于（）,B
家用电器发生火灾，在没有灭火器的情况下应先（）,C
灭火器压力表用红、黄、绿三色表示压力情况，当指针指在绿色区域表示（）,A
当单位灭火人员不能接近火场时，应根据着火对象及火灾现场实际，果断地在蔓延方向采取一些必要的堵截措施。下列那种措施不能阻止火势蔓延（）,D
危险物品发生火灾时，无关人员不要靠近，危险区实行隔离，禁止进入，灭火人员要站在（）处，离开低洼处,A
用灭火器在室外进行灭火时应占据（）灭火,A
根据消防法的规定，违法使用明火作业或者在具有火灾、爆炸危险的场所违反禁令，吸烟、使用明火的，则被处以（）,A
实验完成后，废弃物及废液应如何处置？,B
人体在电磁场作用下会受到不同程度的伤害，其原因是？,C
车间内的插座距地面的高度一般不低于多少米? ,A
实验室各种管理规章制度应该：,A
对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须：,A
实验解剖用过的污染动物尸体，应：,C
易燃、易爆物品和杂物等应该堆放在：,C
以下符合急救与防护“四先四后”原则的是：,A
如果触电者伤势严重，呼吸停止或心脏停止跳动，应先竭力采用胸外心脏挤压和   方法进行施救。,C
"有异物刺人头部或胸部时,以下哪种急救方法是错误的?  ",C
化学强腐蚀烫、烧伤事故发生后，应     ，保持创伤面的洁净以待医务人员治疗。或用适合于消除这类化学药品的特种溶剂、溶液仔细洗涤烫、烧伤面。,B
高温实验装置使用注意事项错误的是：,D
普通塑料、有机玻璃制品的加热温度不能超过：,B
处理使用后的废液时，下列哪个说法是错误的？,D
剧毒物品必须保管、储存在什么地方？,C
自耦电源变压器的输出端指示电压为零时，表示：,C
强碱烧伤处理错误的是：,A
皮肤若被低温（如固体二氧化碳、液氮）冻伤，应：,B
HCN无色，气味为：,C
易燃类液体的特点是：,D
下列试剂哪个不用放在棕色瓶内保藏？,D
以下几种气体中，最毒的气体为：,B
预防电击（触电）的一条重要措施是用电设备的金属外壳要有效接地。请从下列选项中选择可靠的接地点：,C
设备或线路的确认无电，应以什么指示作为根据？ ,B
停电检修时，在一经合闸即可送电到工作地点的开关或刀闸的操作把手上，应悬挂如下哪种标示牌?,C
电分强电和弱电。下列说法正确的是：,B
强电实验时，实验人员必须几人以上？,B
在进行电子线路板焊接后的剪脚工序时，剪脚面应背离身体特别是脸部，防止被剪下引脚弹伤。,正确
"误吸入溴蒸气、氯气等有毒气体时，立即吸入少量酒精和乙醚的混合蒸气，以便解毒, 同时应到室外呼吸新鲜空气，再送医院。",正确
发生化学事故后，应向上风或侧上风方向迅速撤离现场。,正确
一般将闪点在25°C以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体。,正确
铬化合物中六价Cr毒性最大，有强刺激性，引起蛋白变性，干扰酶系统。,正确
汞及其化合物、砷及其无机化合物、黄磷、碘甲烷、甲基丙烯酸甲酯、氰化物等具有剧毒性。,正确
在潮湿或高温或有导电灰尘的场所，实验时应该降低电压供电。,正确
接电路元器件时，主要应关注元器件的耐压和能承受的功率。,正确
电动工具应定期检修。,正确
连接在接线板上的用电总负荷不能超过接线板的最大容量。,正确
为了防止触电可采用绝缘、防护、隔离等技术措施以保障安全。,正确
身边有人严重触电，应当首先切断电源，然后进行紧急抢救如人工呼吸，并立即拨打急救电话120。,正确
使用电气设备时可以用两眼插头代替三眼插头。,错误
电击（触电）通常指因为人体接触带电的线路或设备而受到伤害的事故。为了避免电击（触电）事故的发生，设备须可靠接地和人体对地绝缘。,正确
万用表电阻档可测量绝缘电阻。,错误
当断线落地或大电流从接地装置流入大地时，若人站在附近则可能在两脚之间产生跨步电压。,正确
灭火器按其移动形式可分为：手提式和推车式。,正确
"身上着火被熄灭后,应马上把粘在皮肤上的衣物脱下来。",错误
若宿舍门外已被大火封死，要紧闭房门，用湿毛巾 等堵塞门缝，在室内等待救援。,正确
在扑灭电气火灾的明火时，用气体灭火器扑灭。,正确
大火封门无路可逃时，可用浸湿的被褥、衣物堵塞门缝，向门上泼水降温，以延缓火灾蔓延时间，呼叫待援。,正确
消防工作的方针是：“预防为主，防消结合”，实行消防安全责任制。,正确
当发生火情时尽快沿着疏散指示标志和安全出口方向迅速离开火场。,正确
"用灭火器灭火时,灭火器的喷射口应该对准火焰的中部。",错误
发现被盗或人为破坏，应保护现场并立即报告保卫处。,正确
不得堵塞实验室逃生通道。,正确
建立健全安全管理规章制度，完善逐级安全责任制，贯彻执行“谁使用，谁管理”、“谁主管，谁负责”的安全工作原则。,正确
实验室安全与卫生检查内容主要包括实验室布置、卫生、水电安全、冰箱与烘箱使用管理、危险品使用与保管、化学与生物废弃物（气、液、固态物）的处置、排污管理、气体钢瓶安全、放射性安全等。 ,正确
离开实验室时，实验服不得穿着外出，必须脱下并留在实验室内，更不能携带回家。,正确
为保证安全用电，配电箱内所用的保险丝应该尽量粗。,错误
实验室的接线板远离可能有水的位置和高温环境。,正确
因实验需要，仪器设备可以随便拆装。,错误
碱灼伤时，必须先用大量流水冲洗至皂样物质消失，然后可用1%～2%醋酸或3%硼酸溶液进一步冲洗。,正确
由于金属络合剂能与毒物中的金属离子形成稳定的化合物，随尿液排出体外，故发生金属及其盐类中毒时，可采用各种金属络合剂解毒。,正确
学生在使用剧毒物品时，必须由教师或实验室工作人员在场指导。,正确
过期的、不知名的固体化学药品可自行处理。,错误
有机废物、浓酸或浓碱废液等倒入水槽，只要加大量的自来水将之冲稀即可。,错误
各实验室在运送化学废弃物到各校区临时收集中转仓库之前，不得堆放在走廊、过道以及其它公共区域。  ,正确
不得使用过期、未经检验和不合格的气体钢瓶。,正确
开启氨水、浓盐酸瓶应该在通风櫉中进行。,正确
水银温度计破了以后正确的处理是：洒落出来的汞必须立即用滴管、毛刷收集起来，并用水覆盖（最好用甘油），然后在污染处撒上硫磺粉，无液体后（一般约一周时间）方可清扫。,正确
火灾对实验室构成的威胁最为严重，最为直接。应加强对火灾三要素（易燃物、助燃物、点火源）的控制。,正确
火或热水等引起的大面积烧伤、烫伤，必须用湿毛巾、湿布、湿棉被覆盖，然后送医院进行处理。,正确
在有电阻、电容、电感的电路中，电源电压是几十伏，电容或电感的电压可以是：,C
《中华人民共和国消防法》自（ ）起施行。,B
扑救电气设备火灾时，不能用什么灭火器?,C
灭火器上的压力表用红、黄、绿三色表示灭火器的压力情况，当指针指在绿色区域表示：,A
楼内失火应( ),A
危险化学品储存方式不包括（）,D
带电的电气设备以及发电机、电动机等应使用（）灭火,C
电动自行车可停放在（）,D
防火门应该是朝疏散方向开启的（）,C
液体的火灾危险性是根据液体的（）分类的,C
公共娱乐场所安全出口的疏散门应（）,B
根据消防法的规定，违反消防安全规定进入生产、储存易燃易爆危险物品场所的，则被以（）,C
下列哪种情况不会产生电火花（）,C
关于干粉灭火器的使用，下列正确的是（）,B
评判易燃液体的火灾危险时，一般以（）为参数,B
火灾中产生的主要有毒气体有( ),A
关于学生宿舍，以下哪种说法是错误（）,D
危险化学品的毒害包括：,D
进行照明设施的接电操作，应采取的防触电措施为：,B
国内民用照明电路电压为以下哪种? ,C
开展动物实验过程中，以下哪些做法是正确的？,D
在易燃易爆场所不能穿：,C
节假日期间，仍然需要进入实验室工作的师生，要严格遵守实验室操作规程，做实验时必须要有人在场，并且在实验完成离开时负责      ，锁好门窗，以防火灾和爆炸、溢水等事故。,B
"发生危险化学品事故后,应该向什么方向疏散？",B
实验中溅入口中已下咽的强碱，先饮用大量水，再服用：,B
超级恒温水浴使用时错误的操作是：,C
下列气体须在通风橱内进行操作的是：  ,D
盐酸、甲醛溶液、乙醚等易挥发试剂应如何合理存放？,C
搬运剧毒化学品后，应该：,A
当不慎把大量浓硫酸滴在皮肤上时，正确的处理方法是：,D
测量绝缘电阻可用：,B
不需要放在密封的干燥器内的药品是：,D
以下哪种物质不会灼伤皮肤？,D
下列物质不属于剧毒物的是：,D
下列不属于危险化学品的是：,D
使用电气设备时，由于维护不及时，当什么进入时可导致短路事故？,A
对于高压电容器，实验结束后或闲置时，如何处理最合适？,B
使用手持电动工具时，下列哪个措施不正确? ,A
使用电烙铁应注意：,D
为防止静电火花引起事故，凡是用来加工、贮存、运输各种易燃气、液、粉体的金属设备、非导电材料都必须：,C
下列哪些是预防电气火灾的基本措施？,D
安全电压是指保证不会对人体产生致命危险的电压值，工业中使用的安全电压是多少以下？,B
溴灼伤皮肤，立即用乙醇洗涤，然后用水冲净，涂上甘油或烫伤油膏。,正确
半数致死量(LD50)又称为半数致死浓度，是指药物能引起一群实验动物50%死亡所需的剂量或浓度，用于药物的毒性分级，单位为mg/kg。,正确
久藏的乙醚因可能存在过氧化物，为了爆炸，在蒸发时必须有人值守，不能完全蒸干。,正确
磷化物（Ca3P2、Zn3P2等）有毒，遇水生成H3P，其在空气中能自燃。,正确
在电气类开放性实验或科研实验室，必须二人以上方可开展实验。,正确
化学类实验室原则上不得使用明火电炉。确须使用明火电炉进行实验的，须向实验室与设备处申报，经审核批准备案后，方可使用。,正确
高压实验中的安全距离：10kV是0.7m；66kV是1.5m；220kV是3m。  ,正确
短路会使短路处甚至整个电路过热，从而导致线路的绝缘层燃烧，引发火灾。,正确
为了预防电击（触电），电气设备的金属外壳须接地，最好是埋设接地电阻很小专用地线。,正确
消防队在扑救火灾时，有权根据灭火的需要，拆除或者破损临近火灾现场的建筑。,正确
发现火灾时，单位或个人应该先自救，当自救无效、火越着越大时，再拨打火警电话119。,错误
扑救气体火灾切忌盲目扑灭火势，首先应切断火势蔓延途径，然后疏散火势中压力容器或受到火焰辐射热威胁的压力 容器，不能疏散的部署水枪进行冷却保护。,正确
在着火和救火时，若衣服着火，要赶紧跑到空旷处用灭火器扑灭。,错误
火灾发生后，当所有的逃生线路被大火封锁时，应立即退回室内，用手电筒、挥舞衣物、呼叫等方式向窗外发送求救 信号，等待救援。,正确
禁止穿拖鞋、背心、短裤（裙）进入实验室，高跟鞋可以进实验室。,错误
无论是否涉及病原微生物的实验动物尸体，都要进行无害化处理及冷冻保存，然后送具备相关资质的机构处理。,正确
实验动物是进行生命科学研究基本的材料和对象，它的质量关系到研究结果和成功率。因此，实验动物应该来源于具备资质的单位。,正确
高压钢瓶可以没有固定设施，可以使用过期、未经检验和不合格的气瓶。 ,错误
实验室内电源根据需要可自行拆装、改线。,错误
实验室应将相应的规章制度和操作规程挂到墙上或便于取阅的地方。,正确
发生强碱烧伤，应立即去除残留强碱，再以流动清水冲洗；若消化道被烧伤可适当服用一些牛奶、蛋清。,正确
液体和固体实验废弃物不需分开放置。,错误
实验室安全与卫生工作应坚持“安全第一，预防为主”的原则。,正确
"实验室应对仪器设备加强维护保养,定期校验和检修。",正确
急救时伤口包扎松劲适度，不可过紧或过松，以防滑脱或压迫神经和血管，影响远端血液循环，甚至造成肢体坏死。,正确
如溴滴落到皮肤上，应立即用水冲洗，再用1体积25%的氨水，1体积松节油和10体积（75%）酒精混合液涂敷；也可先用苯甘油除去溴，然后用水冲洗。,正确
触电紧急救护时，首先应使触电者脱离电源，然后立即进行人工呼吸、心脏按压。,正确
水具有导电性，不宜扑救带电设备的火灾，不能扑救遇水燃烧物质或非水溶性燃烧液体的火灾。,正确
气体钢瓶使用后，可以不关闭阀门。,错误
对含有悬浮物质的溶液加热时，应加沸石或玻璃珠，以避免爆沸现象产生。,正确
通常有害药品经呼吸器官、消化器官或皮肤吸入体内，引起中毒。因此，我们切忌口尝、鼻嗅及用手触摸药品。,正确
当发生强碱溅洒事故时，应用固体硼酸粉撒盖溅洒区，扫净并报告有关工作人员。,正确
剧烈运动后，不要立刻大量饮水、吃冷饮，也不要立即洗冷水澡。,正确
易燃、易挥发的溶剂不得在敞口容器中加热，应选用水浴加热器，不得用明火直接加热。,正确
危险废物可以混入非危险废物中贮存或混入生活垃圾中贮存。   ,错误
对固态酸、碱可用手直接操作。,错误
实验室可以存放大桶有机试剂。,错误
实验室内的浓酸、浓碱如果不经处理，沿下水道流走，对管道会产生很强的腐蚀，又造成环境的污染。 ,正确
根据刑法规定，失火罪处以（）年有期徒刑,D
电线接地时，人体距离接地点越近，跨步电压越高；距离越远，跨步电压越低。一般情况下距离接地体多少，跨步电压可看成是零？,B
对校内建筑进行改建、扩建、装修、装饰等工程未经学校消安办备案，或者应报而未报公安消防机构审核或经审核不合格而擅自施工，情节严重者将给予相关部门（）,A
灭火的四种方法是：,C
有机物或能与水发生剧烈化学反应的药品着火，应用 （ ），以免扑救不当造成更大损害。,C
火灾中对人员威胁最大的是（ ）。,B
学校内消防安全重点单位应当按照灭火和应急疏散预案每（）至少组织一次消防演练,C
火灾可分为A、B、C、D四类，A、B、C、D分别指的是什么？（）,B
室内消火栓应设在明显易于取用的地点并有明显标识。其栓口离地面高度为（）,B
国家对危险化学品的生产和储存实行审批制度，对危险化学品的经营销售实行许可制度，对危险化学品的运输实行（）,A
易燃固体在储存、运输过程中，应当注意轻拿轻放，避免出现磨擦、撞击等，是因为它具有（）的危险特性,A
建筑工程施工现场的消防安全由（）负责,B
单位下班前的防火巡查主要不包括（）,C
关于液化石油气的使用事项，以下正确的是( ),B
以下哪种问题不属于学生宿舍消防安全隐患（）,D
外面着火且火势很大，被困室内无法逃生时，以下哪种做法是错误的（）,D
化学药品库中的一般药品应如何分类？,B
由于行为人的过失引起火灾，造成严重后果，危害公共安全的行为，构成：,B
随手使用的手纸、饮料瓶等垃圾应该如何处理？,D
药品中毒的途径有哪些？,D
目前实验动物中，比较严重的人畜共患病是什么？,C
爆炸物品在发生爆炸时的特点有：,D
实验室内使用乙炔气时，说法正确的是：,A
下列实验室操作及安全的叙述，正确的是？,B
"以下是溴灼伤处理方法，其顺序为：                                          
①送医院
②立即用大量水洗
③用乙醇擦至灼伤处为白色。",A
关于存放自燃性试剂说法错误的是：,C
动力配电线五线制U、V、W、零线、地线的色标分别为：,B
下列何者是会发生爆炸的物质？,B
减压蒸馏时应用下列哪一种器皿作为接收瓶和反应瓶？,B
在进行电子线路板焊接后的剪脚工序时应：,A
单相三芯线电缆中的红线代表什么？,B
漏电保护器可防止：,A
低压电笔一般适用于多少?V?以下的交流电压？,C
当可燃气体、可燃液体的蒸气（或可燃粉尘）在空气中达到一定浓度时，遇到火源就会发生爆炸。这个能够发生爆炸的浓度范围，叫做爆炸极限。,正确
乙烯的爆炸极限是：3.1％～32％。 ,正确
丙酮的爆炸极限是：3％～11％。,正确
乙醚、氯仿、笑气（N2O）具有麻醉作用。,正确
电路保险丝熔断，短期内可以用铜丝或铁丝代替。,错误
电动工具的电源引线必须保证接地可靠。,正确
电磁式电流互感器在使用中付边不许开路，电压互感器在使用中付边不许短路。,正确
只要接线板质量符合要求，就可以随意串联很多个，不影响使用。,错误
因为实验需要，可以在实验室存放大量气体钢瓶。,错误
静电有三大特点：一是电压高；二是静电感应突出；三是尖端放电现象严重。,正确
人体触电，双手触电致死比单手触电致死的概率要大得多。,正确
所有的火灾刚开始时都是小火，随着火灾的发展输出的热量越大，火灾蔓延的速度和范围也愈大，所以扑灭初起火灾 最容易的。,正确
中毒事故中救护人员进入现场，应先抢救中毒者，再采取措施切断毒物来源。,错误
在实验室发生事故时，现场人员应迅速组织、指挥，切断事故源，尽量阻止事态蔓延、保护现场；及时有序地疏散学生等人员，对现场已受伤人员作好自助自救、保护人身及财产。,正确
使用过的实验服脱下后，不得与日常衣服放在一起，也不得放在洁净区域。,正确
发生各类案件时应立即报案，妥善保护案发现场，若有人受伤，在救人时应尽可能记住现场破坏前的情况（如手机拍照等）。,正确
《中华人民共和国传染病防治法》由中华人民共和国第十届全国人民代表大会常务委员会第十一次会议于2004年8月28日修订通过。,正确
任何单位和个人不得在电子公告系统、聊天室、网络新闻组上发布、谈论和传播国家秘密信息。,正确
电源插座附近不应堆放易燃物等杂物。,正确
"发生危险化学品事故后,应该向上风方向疏散。",正确
使用激光扫描仪预览和扫描资料时，可以不盖上扫描仪盖子。,错误
"身上着火后,应迅速用灭火器灭火。",错误
发生化学事故后，对有毒的衣物应及时进行无毒化处理。,正确
金属钠、钾可以存放在水中，以避免与空气接触。,错误
Hg、As、Pb等急性中毒会引起牙龈出血、牙齿松动、恶心、呕吐、腹痛、腹泻等症状。,正确
丙酮、氢氧化钠、氨等具有低毒性。,正确
消除管线上的静电主要是做好屏蔽。,错误
"在不影响实验室周围的走廊通行的情况,可以堆放仪器等杂物。",错误
烘箱（干燥箱）在加热时，门可以开启。,错误
实验室发生非火灾类事故，应立即报告单位负责人 和学校保卫处，设立警戒区并撤离无关人员，以减轻潜在危害。,正确
有“严禁烟火”警示牌的大楼和实验室，可不必配 置必要的消防、冲淋、洗眼、报警和逃生设施和有明显标志。,错误
未经指导教师许可，不得搬弄仪器、设备，以及擅自开始实验。实验时，应注意安全，按要求操作，如发现异常立即停止。,正确
心脏骤停者应立即行胸外心脏按摩术，同时拨打120。现场抢救成功的心肺复苏患者或重症患者，如昏迷、惊厥、休克、深度青紫等，应立即送医院治疗。,正确
火或热水等引起的小面积烧伤、烫伤，必须用冷水冲洗30分钟以上，然后用烧伤膏涂抹，切不可用牙膏、酱油、盐等覆盖。,正确
如遇刺激性及神经性中毒，先服牛奶或鸡蛋白使之缓和，再服用硫酸铜溶液（30g溶于一杯水中）催吐。也可以用手指伸入喉部催吐后，立即送往医院。 ,正确
"有机溶剂只会经口鼻进入人体,只要正确的使用呼吸防护面具,就可以有效防止危害健康。",错误
雷电发生时，如果作业人员孤立处于暴露区时，应该立即双手抱膝下蹲，向前弯曲。,正确
因实验室特殊要求，细胞培养房内用的气体钢瓶可不用固定，只要平时小心就可以。,错误
饮水加热器、灭菌锅等可以无水干烧。,错误
有“严禁烟火”警示牌的大楼和实验室，可不必配置必要的消防、冲淋、洗眼、报警和逃生设施和有明显标志。,错误
仪器设备用电或线路发生故障着火时，应立即切断现场电源，将人员疏散，并组织人员用灭火器进行灭火。 ,正确
可以用烘箱干燥有爆炸危险性的物质。,错误
不应用双手同时触及电器，防止触电时电流通过心脏。,正确
在附近无水源，身上着火来不及脱衣服时，应就地打滚，将火苗压灭进行自救。,正确
酸、碱、盐水溶液使用后，经自来水稀释后可直接排入下水道。,错误
严格执行剧毒品“五双”管理制度，即使实验在进行中，也必须在取出实验使用量后立即存入保险柜，做好记录，严防疏漏。,正确
各实验室对所产生的化学废弃物必须要实行集中分类存放，贴好标签，然后送学校中转站，统一处置。 ,正确
领取剧毒物品时，需双人领用(其中一人必须是实验室的教师)。,正确
消防车和消火栓的颜色是：,C
工作地点相对湿度大于?75%?时，属于什么环境？,A
由于行为人的过失引起火灾，造成严重后果的行为，构成（ ）,B
公安消防人员在灭火过程中，应当（ ）。,A
当打开房门闻到燃气气味时，要迅速( )，以防止引起火灾。,B
三相电闸闭合后或三相空气开关闭合后，三相电机嗡嗡响、不转或转速很慢。为什么？,C
长期在高频电磁场作用下，操作者会有什么不良反应? ,C
引发电气火灾的初始原因是:,C
我国消防宣传活动日是每年的,A
报警人或知情人应协助消防人员开展以下哪些工作（）,D
火场中防止烟气危害最简单的方法是( ),C
消防安全重点单位对每名员工应当至少（）进行一次消防安全培训,B
能与可燃物发生氧化反应的物质称为氧化剂，以下物质能作为氧化剂的是（）,D
某次火灾事故未造成人员伤亡，但造成的直接财产损失达110万元，该火灾危险等级为（）,A
遇水燃烧物质是指与水或酸接触会产生可燃气体，同时放出高热，该热量就能引起可燃气体着火爆炸的物质。下列物质属于遇水燃烧的是( ),A
以下哪种问题不属于实验室消防安全隐患（）,D
全国消防宣传日是（）,B
91、学生宿舍管理部门应当履行下列哪些安全管理职责（D）,D
发生人畜共患病时，须立即向学校有关机构报告，同时还必须立即向当地什么职能部门报告？,C
学校对危险化学废物的处理的工作原则是：,B
可以在化学实验室穿着的鞋是：,D
生物实验中的一次性手套及沾染EB致癌物质的物品，应：,B
加热和蒸馏有易燃试剂的实验时，不能用：,B
"发现燃气泄漏,正确做法是？",C
